Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2016-11-25,64.6279,68.0855,80.2937,93.4145,56.9936,10.0,0.43478,-0.41,0.39088,-0.07314,2.4943
2016-11-24,64.0087,68.054,79.4156,92.8658,57.6369,10.0,0.43422,-0.41,0.39838,-0.07029,2.4943
2016-11-23,63.6282,67.5413,79.4398,92.3728,57.4391,10.0,0.43422,-0.41,0.39838,-0.07057,2.4943
2016-11-22,64.358,68.3611,79.4435,93.3347,58.0717,10.0,0.43367,-0.41,0.39838,-0.06457,2.4943
2016-11-18,64.9154,69.4984,80.8197,94.4884,59.6128,10.0,0.43367,-0.41,0.39838,-0.051,2.4943
2016-11-17,64.5463,69.2388,80.4892,93.9539,58.9572,10.0,0.43456,-0.41,0.39769,-0.05029,2.4943
2016-11-16,65.5548,70.6156,81.8911,95.6711,60.7298,10.0,0.43289,-0.40929,0.39838,-0.04243,2.4943
2016-11-15,65.8591,71.0488,82.3239,96.2768,61.1023,10.0,0.43289,-0.41,0.39775,-0.04814,2.4943
2016-11-11,63.4161,69.3392,78.8833,93.3647,59.9481,10.0,0.43233,-0.41,0.40056,-0.06814,2.4943
2016-10-11,63.8928,71.3491,79.3229,94.3401,61.8727,10.0,0.43233,-0.40714,0.40181,-0.06957,2.4943
2016-09-11,63.7364,70.4542,79.2435,94.0079,61.0239,10.0,0.43233,-0.405,0.40306,-0.07243,2.4943
2016-08-11,63.9074,70.6944,79.2643,94.3199,61.1583,10.0,0.434,-0.40714,0.40131,-0.07171,2.4943
2016-04-11,63.5043,70.5977,78.4278,93.9288,61.7356,10.333333333333334,0.43511,-0.40714,0.40644,-0.04914,2.4943
2016-03-11,63.4166,70.2339,77.8122,93.7977,61.2454,10.0,0.43678,-0.40643,0.399,-0.04,2.4943
2016-02-11,63.2025,69.3647,77.5115,93.292,60.1442,10.0,0.43733,-0.40714,0.39938,-0.03357,2.4943
2016-01-11,63.2174,69.2863,77.0304,93.3705,60.2271,10.0,0.43456,-0.40714,0.40219,-0.02857,2.4943
2016-10-28,63.0399,68.7576,77.1734,93.0094,60.2589,10.0,0.43544,-0.40686,0.40488,-0.03129,2.4943
2016-10-27,62.2597,67.9253,76.0253,91.9791,59.7416,10.0,0.43489,-0.40686,0.40488,-0.024,2.4943
2016-10-26,62.048,67.4958,75.8785,91.5486,59.4187,10.0,0.43433,-0.40686,0.40238,-0.02329,2.4943
2016-10-25,62.2349,67.7302,76.1071,91.9017,59.896,10.0,0.43433,-0.40614,0.40125,-0.02443,2.4943
2016-10-21,62.4194,68.4741,76.5886,92.6186,60.1952,10.0,0.43322,-0.40686,0.40175,-0.02586,2.4943
2016-10-20,62.5841,68.7674,77.0223,92.8671,60.494,10.0,0.43322,-0.40686,0.402,-0.02229,2.4943
2016-10-19,62.89,69.2608,77.0465,93.3197,60.4566,10.0,0.43378,-0.40686,0.40575,-0.02657,2.4943
2016-10-18,63.151,69.3587,76.8295,93.7014,60.6143,10.0,0.43322,-0.40686,0.40213,-0.02086,2.4943
